Date,Price,Open,High,Low,Vol.,Change %
2004-11-02,846.67,839.59,849.71,838.39,272.10M,1.32%
2004-11-01,835.66,832.52,842.16,831.32,221.46M,0.10%
2004-10-29,834.84,826.89,835.26,823.07,248.66M,0.16%
2004-10-28,833.54,825.85,833.54,821.54,280.80M,2.92%
2004-10-27,809.91,820.73,822.3,803.72,303.32M,-0.47%
2004-10-26,813.7,812.18,817.0,809.79,260.61M,0.69%
2004-10-25,808.14,816.11,816.54,801.01,274.80M,-2.42%
2004-10-22,828.17,824.12,832.1,822.2,272.42M,0.92%
2004-10-21,820.63,830.24,831.05,814.64,325.42M,-0.96%
2004-10-20,828.61,851.42,851.43,827.68,385.41M,-3.17%
2004-10-19,855.77,860.87,863.75,851.92,322.59M,0.88%
2004-10-18,848.27,845.0,851.97,840.6,296.29M,0.75%
2004-10-15,841.94,837.96,849.92,833.45,288.64M,-0.55%
2004-10-14,846.63,849.09,852.56,839.87,267.52M,-1.12%
2004-10-13,856.18,863.26,866.07,852.65,319.03M,-0.22%
2004-10-12,858.09,878.25,878.56,856.67,373.01M,-2.61%
2004-10-11,881.11,876.56,882.05,873.16,370.25M,-0.03%
2004-10-08,881.38,877.89,892.12,877.34,458.79M,-0.45%
2004-10-07,885.33,887.39,891.25,878.8,344.41M,-0.24%
2004-10-06,887.45,885.94,896.24,879.58,391.26M,0.29%
2004-10-05,884.84,882.5,887.61,876.56,368.88M,0.45%
2004-10-04,880.84,859.12,880.84,858.92,358.52M,4.12%
2004-10-01,846.01,835.5,846.01,834.75,296.49M,1.31%
2004-09-30,835.09,829.93,836.54,827.17,290.82M,0.36%
2004-09-24,832.1,828.78,836.38,823.05,335.36M,0.29%
2004-09-23,829.68,829.32,834.0,824.85,378.87M,-0.65%
2004-09-22,835.1,861.8,863.19,835.1,362.68M,-2.57%
2004-09-21,857.15,859.2,861.31,854.1,358.42M,0.03%
2004-09-20,856.87,849.46,862.98,849.45,332.12M,1.03%
2004-09-17,848.11,854.35,859.57,846.08,317.27M,-0.85%
2004-09-16,855.38,846.08,863.12,844.06,434.92M,0.56%
